year,Cameroon,Cote d'Ivoire,Dominican Republic,Ecuador,Ghana,Indonesia,Nigeria,Togo,World
1990,115000.0,807501.0,43157.0,96722.0,293355.0,142347.0,244000.0,6814.0,2532122.0
1991,105000.0,764708.0,48860.0,90403.0,241796.0,174899.0,268000.0,4100.0,2521945.8
1992,97835.0,813009.0,50376.0,93999.0,312122.0,207147.0,292000.0,6000.0,2677031.0
1993,99000.0,803799.0,53980.0,82729.0,254652.0,258059.0,306000.0,7200.0,2672283.8
1994,107000.0,808662.0,62385.29,81163.0,288075.0,241701.0,323000.0,5500.0,2671268.8
1995,134000.0,1120000.0,59397.9,85505.0,403900.0,278400.0,203000.0,6000.0,2985764.8
1996,125726.0,1235300.0,62937.81,89928.0,403000.0,350800.0,323000.0,14200.0,3237670.8
1997,126807.0,1119110.0,52455.59,90870.0,322490.0,329700.0,318000.0,5800.0,3017083.0
1998,125000.0,1201119.0,59291.48,35006.0,409360.0,456499.0,370000.0,12200.0,3302840.2
1999,116000.0,1163025.0,25861.38,94687.0,434200.0,367475.0,225000.0,7000.0,2975444.2
2000,122600.0,1401101.0,37107.09,64991.0,436600.0,421142.0,338000.0,6600.0,3338446.8
2001,122100.0,1212428.0,44908.01,76030.0,389591.0,536804.0,340000.0,10200.0,3222354.0
2002,125000.0,1264708.0,45468.0,60268.0,340562.0,619192.0,362000.0,7500.0,3298178.0
2003,154965.0,1351546.0,46697.72,88263.0,497000.0,695361.0,385000.0,5100.0,3705144.8
2004,166754.0,1407213.0,47317.56,89680.0,737000.0,691704.0,412000.0,21700.0,4069753.2
2005,140000.0,1286330.0,31361.0,93658.0,740000.0,748827.0,441000.0,53000.0,4043867.8
2006,164553.0,1408854.0,45912.23,87561.0,734000.0,769386.0,485000.0,73000.0,4299922.5
2007,212619.0,1229908.0,42154.31,85891.0,614500.0,740006.0,360570.0,78000.0,3898909.8
2008,229203.0,1382441.0,45291.0,94300.0,680781.0,803593.0,367020.0,111000.0,4265984.0
2009,235500.0,1223153.0,54994.0,120581.0,710638.0,809583.0,363510.0,105000.0,4211455.0
2010,264077.0,1301347.0,58334.0,132099.0,632037.4,844626.0,399200.0,101500.0,4328769.5
2011,240000.0,1511255.0,54279.0,163151.73,700020.0,712200.0,391000.0,142500.0,4553617.5
2012,268941.0,1485882.0,72225.0,133322.98,879348.0,740500.0,383000.0,34500.0,4613754.5
2013,275000.0,1448992.0,68020.57,128446.0,835466.0,720900.0,367000.0,15000.0,4486395.5
2014,269228.0,1637777.5,69913.3,156215.97,858720.0,728400.0,329870.0,22181.68,4742114.0
2015,310000.0,1796000.0,75499.98,180192.38,858720.0,593331.0,302066.0,10000.0,4817236.0
2016,344752.0,1634000.0,81245.84,177551.3,858720.0,656817.0,298029.0,10000.0,4777619.0
2017,322247.8,2034000.0,86599.0,205955.0,969300.0,590684.0,250000.0,8500.0,5235269.5
2018,317530.3,2113189.0,85991.33,235182.0,904700.0,767280.0,270000.0,7500.0,5505867.0
2019,301255.2,2235043.0,76112.56,283679.56,811700.0,734795.0,250000.0,10600.0,5520075.0
2020,310077.0,2200000.0,77681.23,327902.56,800000.0,720660.0,357608.25,13000.0,5683749.0
2021,295000.0,2228459.0,70630.86,302093.9,1047385.0,650611.7,280000.0,10000.0,5771233.0
2022,295000.0,2358991.0,75900.0,337149.4,683300.0,650611.7,300000.0,16000.0,5622906.0
2023,300000.0,1822441.0,59811.0,375719.12,653700.0,632117.0,350000.0,20000.0,5123486.0
2024,320000.0,1890442.0,57461.0,403698.84,530000.0,632702.0,350000.0,25000.0,5233245.5
