
entity,code,year,cocoa_beans__00000661__production__005510__tonnes
Africa,OWID_AFR,1961,835368
Africa,OWID_AFR,1962,867170
Africa,OWID_AFR,1963,922621
Africa,OWID_AFR,1964,1190061
Africa,OWID_AFR,1965,874245
Africa,OWID_AFR,1966,969648
Africa,OWID_AFR,1967,982906
Africa,OWID_AFR,1968,855617
Africa,OWID_AFR,1969,1004663
Africa,OWID_AFR,1970,1120835
Africa,OWID_AFR,1971,1178239
Africa,OWID_AFR,1972,1036633
Africa,OWID_AFR,1973,966647
Africa,OWID_AFR,1974,1024998
Africa,OWID_AFR,1975,1004331
Africa,OWID_AFR,1976,876150
Africa,OWID_AFR,1977,935141
Africa,OWID_AFR,1978,909069
Africa,OWID_AFR,1979,1014544
Africa,OWID_AFR,1980,1025805
Africa,OWID_AFR,1981,1063505
Africa,OWID_AFR,1982,886804
Africa,OWID_AFR,1983,890274
Africa,OWID_AFR,1984,1073104
Africa,OWID_AFR,1985,1091393
Africa,OWID_AFR,1986,1172902
Africa,OWID_AFR,1987,1202157
Africa,OWID_AFR,1988,1527569
Africa,OWID_AFR,1989,1526251
Africa,OWID_AFR,1990,1521760
Africa,OWID_AFR,1991,1437082.2
Africa,OWID_AFR,1992,1557615.5
Africa,OWID_AFR,1993,1507815.5
Africa,OWID_AFR,1994,1573019.6
Africa,OWID_AFR,1995,1909831.2
Africa,OWID_AFR,1996,2145524.5
Africa,OWID_AFR,1997,1940483.9
Africa,OWID_AFR,1998,2171507.5
Africa,OWID_AFR,1999,1993327.6
Africa,OWID_AFR,2000,2350853.8
Africa,OWID_AFR,2001,2114767.8
Africa,OWID_AFR,2002,2140544.8
Africa,OWID_AFR,2003,2444772.5
Africa,OWID_AFR,2004,2795670.8
Africa,OWID_AFR,2005,2719977
Africa,OWID_AFR,2006,2926066.8
Africa,OWID_AFR,2007,2559619
Africa,OWID_AFR,2008,2836711
Africa,OWID_AFR,2009,2709217.2
Africa,OWID_AFR,2010,2783863
Africa,OWID_AFR,2011,3099219.5
Africa,OWID_AFR,2012,3131100
Africa,OWID_AFR,2013,3017063.2
Africa,OWID_AFR,2014,3213100.5
Africa,OWID_AFR,2015,3376036.8
Africa,OWID_AFR,2016,3313292.8
Africa,OWID_AFR,2017,3745907
Africa,OWID_AFR,2018,3784529.8
Africa,OWID_AFR,2019,3748318.8
Africa,OWID_AFR,2020,3886236
Africa,OWID_AFR,2021,4034650
Africa,OWID_AFR,2022,3837418.5
Africa,OWID_AFR,2023,3344066.2
Africa,OWID_AFR,2024,3424757.5
Africa (FAO),,1961,835368
Africa (FAO),,1962,867170
Africa (FAO),,1963,922621
Africa (FAO),,1964,1190061
Africa (FAO),,1965,874245
Africa (FAO),,1966,969648
Africa (FAO),,1967,982906
Africa (FAO),,1968,855617
Africa (FAO),,1969,1004663
Africa (FAO),,1970,1120835
Africa (FAO),,1971,1178239
Africa (FAO),,1972,1036633
Africa (FAO),,1973,966647
Africa (FAO),,1974,1024998
Africa (FAO),,1975,1004331
Africa (FAO),,1976,876150
Africa (FAO),,1977,935141
Africa (FAO),,1978,909069
Africa (FAO),,1979,1014544
Africa (FAO),,1980,1025805
Africa (FAO),,1981,1063505
Africa (FAO),,1982,886804
Africa (FAO),,1983,890274
Africa (FAO),,1984,1073104
Africa (FAO),,1985,1091393
Africa (FAO),,1986,1172902
Africa (FAO),,1987,1202157
Africa (FAO),,1988,1527569
Africa (FAO),,1989,1526251
Africa (FAO),,1990,1521760
Africa (FAO),,1991,1437082.2
Africa (FAO),,1992,1557615.5
Africa (FAO),,1993,1507815.5
Africa (FAO),,1994,1573019.6
Africa (FAO),,1995,1909831.2
Africa (FAO),,1996,2145524.5
Africa (FAO),,1997,1940483.9
Africa (FAO),,1998,2171507.5
Africa (FAO),,1999,1993327.6
Africa (FAO),,2000,2350853.8
Africa (FAO),,2001,2114767.8
Africa (FAO),,2002,2140544.8
Africa (FAO),,2003,2444772.5
Africa (FAO),,2004,2795670.8
Africa (FAO),,2005,2719977
Africa (FAO),,2006,2926066.8
Africa (FAO),,2007,2559619
Africa (FAO),,2008,2836711
Africa (FAO),,2009,2709217.2
Africa (FAO),,2010,2783863
Africa (FAO),,2011,3099219.5
Africa (FAO),,2012,3131100
Africa (FAO),,2013,3017063.2
Africa (FAO),,2014,3213100.5
Africa (FAO),,2015,3376036.8
Africa (FAO),,2016,3313292.8
Africa (FAO),,2017,3745907
Africa (FAO),,2018,3784529.8
Africa (FAO),,2019,3748318.8
Africa (FAO),,2020,3886236
Africa (FAO),,2021,4034650
Africa (FAO),,2022,3837418.5
Africa (FAO),,2023,3344066.2
Africa (FAO),,2024,3424757.5
Americas (FAO),,1961,328486
Americas (FAO),,1962,318316
Americas (FAO),,1963,328226
Americas (FAO),,1964,321409
Americas (FAO),,1965,322824
Americas (FAO),,1966,342394
Americas (FAO),,1967,372404
Americas (FAO),,1968,353353
Americas (FAO),,1969,372910
Americas (FAO),,1970,381416
Americas (FAO),,1971,415586
Americas (FAO),,1972,429816
Americas (FAO),,1973,396443
Americas (FAO),,1974,475892
Americas (FAO),,1975,496591
Americas (FAO),,1976,432360
Americas (FAO),,1977,458408
Americas (FAO),,1978,521229
Americas (FAO),,1979,571446
Americas (FAO),,1980,552693
Americas (FAO),,1981,560954
Americas (FAO),,1982,607052
Americas (FAO),,1983,580952
Americas (FAO),,1984,570372
Americas (FAO),,1985,735514
Americas (FAO),,1986,728876
Americas (FAO),,1987,580735
Americas (FAO),,1988,667119
Americas (FAO),,1989,688701
Americas (FAO),,1990,555441
Americas (FAO),,1991,620000.56
Americas (FAO),,1992,628432.44
Americas (FAO),,1993,647083.06
Americas (FAO),,1994,624247.06
Americas (FAO),,1995,614401.4
Americas (FAO),,1996,562919.1
Americas (FAO),,1997,576919.06
Americas (FAO),,1998,532341.25
Americas (FAO),,1999,474321.44
Americas (FAO),,2000,427155.1
Americas (FAO),,2001,452868.94
Americas (FAO),,2002,427147.22
Americas (FAO),,2003,462105.38
Americas (FAO),,2004,486337.88
Americas (FAO),,2005,474903.66
Americas (FAO),,2006,497371.34
Americas (FAO),,2007,490995.12
Americas (FAO),,2008,521476.97
Americas (FAO),,2009,588909.9
Americas (FAO),,2010,617095.2
Americas (FAO),,2011,660268.2
Americas (FAO),,2012,672726.9
Americas (FAO),,2013,677512.25
Americas (FAO),,2014,722930.4
Americas (FAO),,2015,779344.9
Americas (FAO),,2016,735492.75
Americas (FAO),,2017,826932.94
Americas (FAO),,2018,883309.3
Americas (FAO),,2019,957129.1
Americas (FAO),,2020,990382
Americas (FAO),,2021,995806.6
Americas (FAO),,2022,1044270.5
Americas (FAO),,2023,1053820.9
Americas (FAO),,2024,1079729.9
Angola,AGO,1961,400
Angola,AGO,1962,400
Angola,AGO,1963,300
Angola,AGO,1964,300
Angola,AGO,1965,400
Angola,AGO,1966,300
Angola,AGO,1967,400
Angola,AGO,1968,500
Angola,AGO,1969,300
Angola,AGO,1970,445
Angola,AGO,1971,516
Angola,AGO,1972,600
Angola,AGO,1973,700
Angola,AGO,1974,500
Angola,AGO,1975,500
Angola,AGO,1976,300
Angola,AGO,1977,300
Angola,AGO,1978,200
Angola,AGO,1979,200
Angola,AGO,1980,200
Angola,AGO,1981,200
Angola,AGO,1982,200
Angola,AGO,1983,200
Angola,AGO,1984,100
Angola,AGO,1985,100
Angola,AGO,1986,100
Angola,AGO,1987,100
Angola,AGO,1988,100
Angola,AGO,1989,100
Angola,AGO,1990,92
Angola,AGO,1991,197.09
Angola,AGO,1992,200
Angola,AGO,1993,200
Angola,AGO,1994,200
Angola,AGO,1995,200
Angola,AGO,1996,200
Angola,AGO,1997,166.85
Angola,AGO,1998,145.41
Angola,AGO,1999,100
Angola,AGO,2000,200
Angola,AGO,2001,198.83
Angola,AGO,2002,190
Angola,AGO,2003,200
Angola,AGO,2004,222.12
Angola,AGO,2005,241.81
Angola,AGO,2006,265.87
Angola,AGO,2007,297.38
Angola,AGO,2008,316.45
Angola,AGO,2009,335.6
Angola,AGO,2010,354.29
Angola,AGO,2011,372.2
Angola,AGO,2012,400
Angola,AGO,2013,410
Angola,AGO,2014,418.19
Angola,AGO,2015,428.72
Angola,AGO,2016,438.21
Angola,AGO,2017,447.67
Angola,AGO,2018,457.23
